"user_input","items_json"
"Yo load up with thirteen almonds, drop twenty chocolates, take out one of them tuna cans, load up with one salads","[{""action"": ""add"", ""product"": ""almonds"", ""quantity"": 13}, {""action"": ""remove"", ""product"": ""chocolates"", ""quantity"": 20}, {""action"": ""remove"", ""product"": ""tuna cans"", ""quantity"": 1}, {""action"": ""add"", ""product"": ""salads"", ""quantity"": 1}]"
"Okay put in 22 beers, then skip sixteen scallops, and also toss in a dozen olive jars","[{""action"": ""add"", ""product"": ""beers"", ""quantity"": 22}, {""action"": ""remove"", ""product"": ""scallops"", ""quantity"": 16}, {""action"": ""add"", ""product"": ""olive jars"", ""quantity"": 12}]"
"Alright chuck in 17 sodas, give me two ice creams, take away half a dozen of them eggplants, then pull ten of the cheeses, include 4 cauliflower heads thanks","[{""action"": ""add"", ""product"": ""sodas"", ""quantity"": 17}, {""action"": ""add"", ""product"": ""ice creams"", ""quantity"": 2}, {""action"": ""remove"", ""product"": ""eggplants"", ""quantity"": 6}, {""action"": ""remove"", ""product"": ""cheeses"", ""quantity"": 10}, {""action"": ""add"", ""product"": ""cauliflower heads"", ""quantity"": 4}]"
"Hey take out five of the biscuits, then load up with a dozen lobsters, ring up nineteen ribs, throw on half a dozen candy bars, scrub eighteen mussels","[{""action"": ""remove"", ""product"": ""biscuits"", ""quantity"": 5}, {""action"": ""add"", ""product"": ""lobsters"", ""quantity"": 12}, {""action"": ""add"", ""product"": ""ribs"", ""quantity"": 19}, {""action"": ""add"", ""product"": ""candy bars"", ""quantity"": 6}, {""action"": ""remove"", ""product"": ""mussels"", ""quantity"": 18}]"
"Grab me two beets, then put in half a dozen scallops, slap on 5 pretzels, lose 9 leeks, throw on eleven salsas","[{""action"": ""add"", ""product"": ""beets"", ""quantity"": 2}, {""action"": ""add"", ""product"": ""scallops"", ""quantity"": 6}, {""action"": ""add"", ""product"": ""pretzels"", ""quantity"": 5}, {""action"": ""remove"", ""product"": ""leeks"", ""quantity"": 9}, {""action"": ""add"", ""product"": ""salsas"", ""quantity"": 11}]"
"Ditch two dozen celery stalks, lose a couple turkey slices, scrap 14 of the ham slices, plus get me six pizzas","[{""action"": ""remove"", ""product"": ""celery stalks"", ""quantity"": 24}, {""action"": ""remove"", ""product"": ""turkey slices"", ""quantity"": 2}, {""action"": ""remove"", ""product"": ""ham slices"", ""quantity"": 14}, {""action"": ""add"", ""product"": ""pizzas"", ""quantity"": 6}]"
"Hey add six sausages, then tack on a few crabs, give me ten cream cheeses and kick out 13 granola bars","[{""action"": ""add"", ""product"": ""sausages"", ""quantity"": 6}, {""action"": ""add"", ""product"": ""crabs"", ""quantity"": 3}, {""action"": ""add"", ""product"": ""cream cheeses"", ""quantity"": 10}, {""action"": ""remove"", ""product"": ""granola bars"", ""quantity"": 13}]"
"Stick in a few ice creams and get rid of 7 pasta boxes","[{""action"": ""add"", ""product"": ""ice creams"", ""quantity"": 3}, {""action"": ""remove"", ""product"": ""pasta boxes"", ""quantity"": 7}]"
"Alright slap on a few cauliflower heads, then stock up on a few eggplants, pack in a few steaks, put in eleven ham slices, and scrub 8 lettuces","[{""action"": ""add"", ""product"": ""cauliflower heads"", ""quantity"": 3}, {""action"": ""add"", ""product"": ""eggplants"", ""quantity"": 3}, {""action"": ""add"", ""product"": ""steaks"", ""quantity"": 3}, {""action"": ""add"", ""product"": ""ham slices"", ""quantity"": 11}, {""action"": ""remove"", ""product"": ""lettuces"", ""quantity"": 8}]"
"Take away 8 of them pancake mixes, take out a pair of cod fillets, tack on a few nuts, then skip 2 asparagus bunches thanks","[{""action"": ""remove"", ""product"": ""pancake mixes"", ""quantity"": 8}, {""action"": ""remove"", ""product"": ""cod fillets"", ""quantity"": 2}, {""action"": ""add"", ""product"": ""nuts"", ""quantity"": 3}, {""action"": ""remove"", ""product"": ""asparagus bunches"", ""quantity"": 2}]"
"Okay ditch two dozen leeks, then toss in a few beers, kick out eight of them pies","[{""action"": ""remove"", ""product"": ""leeks"", ""quantity"": 24}, {""action"": ""add"", ""product"": ""beers"", ""quantity"": 3}, {""action"": ""remove"", ""product"": ""pies"", ""quantity"": 8}]"
"Tack on 7 pretzels, stick in 11 grapes, and also pull 25 of those pizzas","[{""action"": ""add"", ""product"": ""pretzels"", ""quantity"": 7}, {""action"": ""add"", ""product"": ""grapes"", ""quantity"": 11}, {""action"": ""remove"", ""product"": ""pizzas"", ""quantity"": 25}]"
"Scrap 1 of those baguettes, then drop 9 of the tuna cans, pack in 3 trash bags cheers","[{""action"": ""remove"", ""product"": ""baguettes"", ""quantity"": 1}, {""action"": ""remove"", ""product"": ""tuna cans"", ""quantity"": 9}, {""action"": ""add"", ""product"": ""trash bags"", ""quantity"": 3}]"
"Hey remove 21 of the tissue boxes, pack in four olive jars, then lose 3 smoothies, plus pull 20 avocados","[{""action"": ""remove"", ""product"": ""tissue boxes"", ""quantity"": 21}, {""action"": ""add"", ""product"": ""olive jars"", ""quantity"": 4}, {""action"": ""remove"", ""product"": ""smoothies"", ""quantity"": 3}, {""action"": ""remove"", ""product"": ""avocados"", ""quantity"": 20}]"
"Slap on eight pies, then ditch 24 pretzels, scrap twelve shrimp, add 3 cashews please","[{""action"": ""add"", ""product"": ""pies"", ""quantity"": 8}, {""action"": ""remove"", ""product"": ""pretzels"", ""quantity"": 24}, {""action"": ""remove"", ""product"": ""shrimp"", ""quantity"": 12}, {""action"": ""add"", ""product"": ""cashews"", ""quantity"": 3}]"
"Pile on a dozen pears, take away five of those salads, then ditch a few prawns, and throw on 14 sandwiches","[{""action"": ""add"", ""product"": ""pears"", ""quantity"": 12}, {""action"": ""remove"", ""product"": ""salads"", ""quantity"": 5}, {""action"": ""remove"", ""product"": ""prawns"", ""quantity"": 3}, {""action"": ""add"", ""product"": ""sandwiches"", ""quantity"": 14}]"
"Yo grab me three pizzas, give me 17 blueberries, pile on 12 pretzels, and also scrap two of them wraps thanks","[{""action"": ""add"", ""product"": ""pizzas"", ""quantity"": 3}, {""action"": ""add"", ""product"": ""blueberries"", ""quantity"": 17}, {""action"": ""add"", ""product"": ""pretzels"", ""quantity"": 12}, {""action"": ""remove"", ""product"": ""wraps"", ""quantity"": 2}]"
"Ring up 22 sparkling waters, scan in 13 hot dogs in there, scrap 7 cookies, plus pack in 1 bacon packs please","[{""action"": ""add"", ""product"": ""sparkling waters"", ""quantity"": 22}, {""action"": ""add"", ""product"": ""hot dogs"", ""quantity"": 13}, {""action"": ""remove"", ""product"": ""cookies"", ""quantity"": 7}, {""action"": ""add"", ""product"": ""bacon packs"", ""quantity"": 1}]"
"Okay lose three limes, and pile on fourteen sandwiches","[{""action"": ""remove"", ""product"": ""limes"", ""quantity"": 3}, {""action"": ""add"", ""product"": ""sandwiches"", ""quantity"": 14}]"
"Bring me 19 garlic bulbs, lose two dozen of those salsas, then cut four lettuces, then grab me 21 prawns","[{""action"": ""add"", ""product"": ""garlic bulbs"", ""quantity"": 19}, {""action"": ""remove"", ""product"": ""salsas"", ""quantity"": 24}, {""action"": ""remove"", ""product"": ""lettuces"", ""quantity"": 4}, {""action"": ""add"", ""product"": ""prawns"", ""quantity"": 21}]"
"Lose half a dozen pizzas, then pack in 3 shrimp, drop a dozen salami packs and toss in 15 cucumbers in there thanks","[{""action"": ""remove"", ""product"": ""pizzas"", ""quantity"": 6}, {""action"": ""add"", ""product"": ""shrimp"", ""quantity"": 3}, {""action"": ""remove"", ""product"": ""salami packs"", ""quantity"": 12}, {""action"": ""add"", ""product"": ""cucumbers"", ""quantity"": 15}]"
"Alright scan in eleven sandwiches, ditch half a dozen beets, then cut a couple lobsters, and also include 15 pineapples thanks","[{""action"": ""add"", ""product"": ""sandwiches"", ""quantity"": 11}, {""action"": ""remove"", ""product"": ""beets"", ""quantity"": 6}, {""action"": ""remove"", ""product"": ""lobsters"", ""quantity"": 2}, {""action"": ""add"", ""product"": ""pineapples"", ""quantity"": 15}]"
"Throw on 4 mussels, scan in 22 ribs, then kick out five spinach bunches","[{""action"": ""add"", ""product"": ""mussels"", ""quantity"": 4}, {""action"": ""add"", ""product"": ""ribs"", ""quantity"": 22}, {""action"": ""remove"", ""product"": ""spinach bunches"", ""quantity"": 5}]"
"Slap on 22 trash bags, give me 6 limes, grab me 5 protein bars in there, then cut eighteen of the celery stalks","[{""action"": ""add"", ""product"": ""trash bags"", ""quantity"": 22}, {""action"": ""add"", ""product"": ""limes"", ""quantity"": 6}, {""action"": ""add"", ""product"": ""protein bars"", ""quantity"": 5}, {""action"": ""remove"", ""product"": ""celery stalks"", ""quantity"": 18}]"
"Yo skip a dozen butters, skip 8 wines, then chuck in a pair of walnuts, pile on half a dozen sandwiches and give me six popsicles please","[{""action"": ""remove"", ""product"": ""butters"", ""quantity"": 12}, {""action"": ""remove"", ""product"": ""wines"", ""quantity"": 8}, {""action"": ""add"", ""product"": ""walnuts"", ""quantity"": 2}, {""action"": ""add"", ""product"": ""sandwiches"", ""quantity"": 6}, {""action"": ""add"", ""product"": ""popsicles"", ""quantity"": 6}]"
"Grab me 17 bagels, leave out a pair of cauliflower heads, then cut thirteen strawberries, then stick in a few jams in there","[{""action"": ""add"", ""product"": ""bagels"", ""quantity"": 17}, {""action"": ""remove"", ""product"": ""cauliflower heads"", ""quantity"": 2}, {""action"": ""remove"", ""product"": ""strawberries"", ""quantity"": 13}, {""action"": ""add"", ""product"": ""jams"", ""quantity"": 3}]"
"Take out one of those walnuts, cut twenty beets, and toss in 4 sausages cheers","[{""action"": ""remove"", ""product"": ""walnuts"", ""quantity"": 1}, {""action"": ""remove"", ""product"": ""beets"", ""quantity"": 20}, {""action"": ""add"", ""product"": ""sausages"", ""quantity"": 4}]"
"Add six cheeses, then throw on 17 quinoa bags, take away thirteen of the crackers and chuck in 1 pancake mixes please","[{""action"": ""add"", ""product"": ""cheeses"", ""quantity"": 6}, {""action"": ""add"", ""product"": ""quinoa bags"", ""quantity"": 17}, {""action"": ""remove"", ""product"": ""crackers"", ""quantity"": 13}, {""action"": ""add"", ""product"": ""pancake mixes"", ""quantity"": 1}]"
"Hey tack on half a dozen nuts, then include 25 mushrooms in there, toss in 7 scones cheers","[{""action"": ""add"", ""product"": ""nuts"", ""quantity"": 6}, {""action"": ""add"", ""product"": ""mushrooms"", ""quantity"": 25}, {""action"": ""add"", ""product"": ""scones"", ""quantity"": 7}]"
"Alright get rid of a few of the peaches, then include two dozen kombuchas, pack in 6 jams","[{""action"": ""remove"", ""product"": ""peaches"", ""quantity"": 3}, {""action"": ""add"", ""product"": ""kombuchas"", ""quantity"": 24}, {""action"": ""add"", ""product"": ""jams"", ""quantity"": 6}]"
"Yo pile on 11 tuna cans, chuck in 15 water bottles, get rid of fourteen pasta boxes, then bring me 21 plums","[{""action"": ""add"", ""product"": ""tuna cans"", ""quantity"": 11}, {""action"": ""add"", ""product"": ""water bottles"", ""quantity"": 15}, {""action"": ""remove"", ""product"": ""pasta boxes"", ""quantity"": 14}, {""action"": ""add"", ""product"": ""plums"", ""quantity"": 21}]"
"Hey chuck in fifteen raspberries, chuck in seventeen lettuces, throw in 4 pork chops","[{""action"": ""add"", ""product"": ""raspberries"", ""quantity"": 15}, {""action"": ""add"", ""product"": ""lettuces"", ""quantity"": 17}, {""action"": ""add"", ""product"": ""pork chops"", ""quantity"": 4}]"
"Give me sixteen sausages, then add fifteen cucumbers, then pull three salmon fillets please","[{""action"": ""add"", ""product"": ""sausages"", ""quantity"": 16}, {""action"": ""add"", ""product"": ""cucumbers"", ""quantity"": 15}, {""action"": ""remove"", ""product"": ""salmon fillets"", ""quantity"": 3}]"
"Chuck in 19 strawberries, then add 3 lotions, ring up fourteen pistachios in there, leave out fifteen salmon fillets","[{""action"": ""add"", ""product"": ""strawberries"", ""quantity"": 19}, {""action"": ""add"", ""product"": ""lotions"", ""quantity"": 3}, {""action"": ""add"", ""product"": ""pistachios"", ""quantity"": 14}, {""action"": ""remove"", ""product"": ""salmon fillets"", ""quantity"": 15}]"
"Lose 6 leeks, then pile on 17 eggs, load up with 18 cream cheeses","[{""action"": ""remove"", ""product"": ""leeks"", ""quantity"": 6}, {""action"": ""add"", ""product"": ""eggs"", ""quantity"": 17}, {""action"": ""add"", ""product"": ""cream cheeses"", ""quantity"": 18}]"
"Hey toss in a dozen clams, then ring up 21 blueberries, scan in half a dozen brownies, then skip a dozen ice creams","[{""action"": ""add"", ""product"": ""clams"", ""quantity"": 12}, {""action"": ""add"", ""product"": ""blueberries"", ""quantity"": 21}, {""action"": ""add"", ""product"": ""brownies"", ""quantity"": 6}, {""action"": ""remove"", ""product"": ""ice creams"", ""quantity"": 12}]"
"Yo scrap 20 nuts, bring me twelve salmon fillets, and also drop in four oatmeal boxes","[{""action"": ""remove"", ""product"": ""nuts"", ""quantity"": 20}, {""action"": ""add"", ""product"": ""salmon fillets"", ""quantity"": 12}, {""action"": ""add"", ""product"": ""oatmeal boxes"", ""quantity"": 4}]"
"Drop in 6 coffees, take away 6 shrimp, then take away ten of the almonds please","[{""action"": ""add"", ""product"": ""coffees"", ""quantity"": 6}, {""action"": ""remove"", ""product"": ""shrimp"", ""quantity"": 6}, {""action"": ""remove"", ""product"": ""almonds"", ""quantity"": 10}]"
"Put in 1 walnuts, and chuck in thirteen wings in there please","[{""action"": ""add"", ""product"": ""walnuts"", ""quantity"": 1}, {""action"": ""add"", ""product"": ""wings"", ""quantity"": 13}]"
"Okay bring me 4 bell peppers, grab me twelve clams, then drop two of them biscuits, include a dozen mussels","[{""action"": ""add"", ""product"": ""bell peppers"", ""quantity"": 4}, {""action"": ""add"", ""product"": ""clams"", ""quantity"": 12}, {""action"": ""remove"", ""product"": ""biscuits"", ""quantity"": 2}, {""action"": ""add"", ""product"": ""mussels"", ""quantity"": 12}]"
"Yo pack in a dozen crackers, kick out one turkey slices, pile on a dozen potatoes","[{""action"": ""add"", ""product"": ""crackers"", ""quantity"": 12}, {""action"": ""remove"", ""product"": ""turkey slices"", ""quantity"": 1}, {""action"": ""add"", ""product"": ""potatoes"", ""quantity"": 12}]"
"Okay scrub twenty of them loaves, then ditch 23 of the creams, give me fourteen shrimp, drop two dozen walnuts, pack in 11 napkins please","[{""action"": ""remove"", ""product"": ""loaves"", ""quantity"": 20}, {""action"": ""remove"", ""product"": ""creams"", ""quantity"": 23}, {""action"": ""add"", ""product"": ""shrimp"", ""quantity"": 14}, {""action"": ""remove"", ""product"": ""walnuts"", ""quantity"": 24}, {""action"": ""add"", ""product"": ""napkins"", ""quantity"": 11}]"
"Alright get rid of 8 granola bars, skip a few eggs, then pull 12 candy bars, then throw on 19 ground beef packs","[{""action"": ""remove"", ""product"": ""granola bars"", ""quantity"": 8}, {""action"": ""remove"", ""product"": ""eggs"", ""quantity"": 3}, {""action"": ""remove"", ""product"": ""candy bars"", ""quantity"": 12}, {""action"": ""add"", ""product"": ""ground beef packs"", ""quantity"": 19}]"
"Knock off seven chicken breasts, load up with two dozen steaks, and stock up on 22 cheeses thanks","[{""action"": ""remove"", ""product"": ""chicken breasts"", ""quantity"": 7}, {""action"": ""add"", ""product"": ""steaks"", ""quantity"": 24}, {""action"": ""add"", ""product"": ""cheeses"", ""quantity"": 22}]"
"Hey slap on a pair of deodorants, skip seven cashews, then tack on a couple kiwis","[{""action"": ""add"", ""product"": ""deodorants"", ""quantity"": 2}, {""action"": ""remove"", ""product"": ""cashews"", ""quantity"": 7}, {""action"": ""add"", ""product"": ""kiwis"", ""quantity"": 2}]"
"Okay pile on a couple bacon packs, skip a few garlic bulbs, cut five razors, get me a few muffins, plus lose one chicken breasts","[{""action"": ""add"", ""product"": ""bacon packs"", ""quantity"": 2}, {""action"": ""remove"", ""product"": ""garlic bulbs"", ""quantity"": 3}, {""action"": ""remove"", ""product"": ""razors"", ""quantity"": 5}, {""action"": ""add"", ""product"": ""muffins"", ""quantity"": 3}, {""action"": ""remove"", ""product"": ""chicken breasts"", ""quantity"": 1}]"
"Alright stick in 13 sour creams, remove a few of the drumsticks and include 4 butters","[{""action"": ""add"", ""product"": ""sour creams"", ""quantity"": 13}, {""action"": ""remove"", ""product"": ""drumsticks"", ""quantity"": 3}, {""action"": ""add"", ""product"": ""butters"", ""quantity"": 4}]"
"Yo kick out 24 pistachios, give me a dozen deodorants, chuck in seventeen spinach bunches in there, and also cut 18 of them pizzas","[{""action"": ""remove"", ""product"": ""pistachios"", ""quantity"": 24}, {""action"": ""add"", ""product"": ""deodorants"", ""quantity"": 12}, {""action"": ""add"", ""product"": ""spinach bunches"", ""quantity"": 17}, {""action"": ""remove"", ""product"": ""pizzas"", ""quantity"": 18}]"
"Hey nix seventeen plums, throw in ten burgers, take out nineteen of the apples, and also add two avocados","[{""action"": ""remove"", ""product"": ""plums"", ""quantity"": 17}, {""action"": ""add"", ""product"": ""burgers"", ""quantity"": 10}, {""action"": ""remove"", ""product"": ""apples"", ""quantity"": 19}, {""action"": ""add"", ""product"": ""avocados"", ""quantity"": 2}]"
"Okay scrub thirteen of them honeys, ditch 12 of them toothbrushes, throw in eight hummus tubs, plus slap on eighteen turkey slices","[{""action"": ""remove"", ""product"": ""honeys"", ""quantity"": 13}, {""action"": ""remove"", ""product"": ""toothbrushes"", ""quantity"": 12}, {""action"": ""add"", ""product"": ""hummus tubs"", ""quantity"": 8}, {""action"": ""add"", ""product"": ""turkey slices"", ""quantity"": 18}]"
"Alright take off one of those coffees, take off two raspberries, then give me eighteen olive jars","[{""action"": ""remove"", ""product"": ""coffees"", ""quantity"": 1}, {""action"": ""remove"", ""product"": ""raspberries"", ""quantity"": 2}, {""action"": ""add"", ""product"": ""olive jars"", ""quantity"": 18}]"
"Yo cut 5 of the tuna cans, then get me 19 ground beef packs, chuck in two water bottles, then nix a few honeys","[{""action"": ""remove"", ""product"": ""tuna cans"", ""quantity"": 5}, {""action"": ""add"", ""product"": ""ground beef packs"", ""quantity"": 19}, {""action"": ""add"", ""product"": ""water bottles"", ""quantity"": 2}, {""action"": ""remove"", ""product"": ""honeys"", ""quantity"": 3}]"
